game_result,turnovers,pass_cmp,pass_att,pass_yds,pass_td,rush_att,rush_yds,rush_td,rush_yds_per_att,tot_plays,tot_yds_per_play,first_down_pass,first_down_rush,first_down_penalty,first_down,penalty,penalty_yds,fumbles_lost,pass_int,game_loc,turnovers_opp,pass_cmp_opp,pass_att_opp,pass_yds_opp,pass_td_opp,rush_att_opp,rush_yds_opp,rush_td_opp,rush_yds_per_att_opp,tot_plays_opp,tot_yds_per_play_opp,first_down_pass_opp,first_down_rush_opp,first_down_penalty_opp,first_down_opp,penalty_opp,penalty_yds_opp,fumbles_lost_opp,pass_int_opp,team_elo,havoc,points_per_opp,average_field_start,power_success,second_level_yards,open_field_yards,line_yards,success_rate,explosiveness
W (16-7),3,15,25.0,321,0,31,100,0,3.2,56,7.5,2,4,2,13,8,69,2,1,1,1.0,11.0,21.0,78.0,0.0,48.0,96.0,1.0,2.0,69.0,2.5,2.0,11.0,2.0,15.0,7.0,64.0,1.0,0.0,-2.310250507062687,,,,,,,,,
W (27-10),2,17,23.0,237,1,35,101,2,2.9,58,5.8,2,5,2,19,4,35,0,2,1,4.0,19.0,35.0,157.0,1.0,26.0,48.0,0.0,1.8,61.0,3.4,1.0,3.0,1.0,14.0,8.0,85.0,1.0,3.0,38.74372766437227,,,,,,,,,
W (10-6),1,14,19.0,138,0,41,128,1,3.1,60,4.4,1,8,1,16,5,35,0,1,0,1.0,28.0,40.0,224.0,0.0,21.0,31.0,0.0,1.5,61.0,4.2,0.0,2.0,0.0,15.0,6.0,60.0,0.0,1.0,77.58854314448948,,,,,,,,,
W (10-9),2,15,31.0,192,1,22,72,0,3.3,53,5.0,0,4,0,15,3,35,1,1,1,2.0,4.0,9.0,78.0,0.0,62.0,279.0,1.0,4.5,71.0,5.0,1.0,16.0,1.0,20.0,3.0,20.0,2.0,0.0,121.1462260082446,,,,,,,,,
W (48-19),2,9,15.0,144,1,51,268,5,5.3,66,6.2,2,15,2,23,3,25,1,1,0,2.0,21.0,37.0,221.0,1.0,25.0,38.0,1.0,1.5,62.0,4.2,0.0,2.0,0.0,13.0,5.0,46.0,0.0,2.0,158.5569302823687,,,,,,,,,
W (42-10),1,13,22.0,173,2,39,196,4,5.0,61,6.0,4,9,4,20,6,50,1,0,1,3.0,4.0,11.0,17.0,0.0,58.0,200.0,1.0,3.4,69.0,3.1,0.0,13.0,0.0,14.0,7.0,77.0,0.0,3.0,17.196030040711314,,,,,,,,,
L (24-27),1,19,29.0,247,1,47,204,2,4.3,76,5.9,2,14,2,26,2,20,0,1,1,0.0,17.0,25.0,194.0,2.0,27.0,59.0,0.0,2.2,52.0,4.9,0.0,5.0,0.0,13.0,5.0,45.0,0.0,0.0,23.92959992092804,,,,,,,,,
W (24-9),0,28,35.0,350,2,32,41,1,1.3,67,5.8,1,5,1,22,7,67,0,0,1,2.0,32.0,52.0,288.0,1.0,23.0,131.0,0.0,5.7,75.0,5.6,2.0,9.0,2.0,24.0,6.0,32.0,0.0,2.0,70.18629421725768,,,,,,,,,
W (38-28),0,20,29.0,158,1,41,186,3,4.5,70,4.9,0,9,0,19,4,35,0,0,1,4.0,26.0,41.0,312.0,3.0,33.0,103.0,1.0,3.1,74.0,5.6,1.0,11.0,1.0,23.0,0.0,0.0,2.0,2.0,113.44047299403226,,,,,,,,,
L (31-38),2,23,39.0,236,3,27,155,1,5.7,66,5.9,3,7,3,21,8,83,2,0,1,0.0,17.0,30.0,132.0,1.0,54.0,336.0,4.0,6.2,84.0,5.6,5.0,14.0,5.0,28.0,8.0,69.0,0.0,0.0,123.91147868299464,,,,,,,,,
W (27-24),0,13,22.0,162,1,48,221,2,4.6,70,5.5,2,15,2,22,2,10,0,0,0,1.0,10.0,26.0,102.0,0.0,43.0,235.0,3.0,5.5,69.0,4.9,0.0,12.0,0.0,19.0,4.0,29.0,0.0,1.0,170.11508134505726,,,,,,,,,
L (37-40),2,30,52.0,460,3,32,61,1,1.9,84,6.2,3,7,3,25,7,65,2,0,0,1.0,20.0,30.0,256.0,2.0,37.0,143.0,0.0,3.9,67.0,6.0,0.0,7.0,0.0,17.0,6.0,56.0,1.0,0.0,-12.655996782659848,,,,,,,,,
L (27-35),1,16,34.0,195,2,43,262,1,6.1,77,5.9,3,14,3,26,7,80,0,1,0,1.0,13.0,24.0,154.0,2.0,51.0,308.0,3.0,6.0,75.0,6.2,4.0,15.0,4.0,27.0,6.0,61.0,1.0,0.0,0.7328694554709765,,,,,,,,,
L (21-53),4,20,33.0,284,2,18,25,1,1.4,51,6.1,1,2,1,14,6,50,1,3,0,1.0,2.0,8.0,35.0,1.0,69.0,455.0,5.0,6.6,77.0,6.4,2.0,21.0,2.0,24.0,4.0,50.0,1.0,0.0,-14.726203250331077,,,,,,,,,
L (34-45),2,15,30.0,216,3,37,182,2,4.9,67,5.9,4,10,4,23,7,58,2,0,1,1.0,19.0,28.0,310.0,2.0,50.0,158.0,3.0,3.2,78.0,6.0,3.0,11.0,3.0,24.0,9.0,83.0,1.0,0.0,-3.34902304241564,,,,,,,,,
